Origin,CRSElapsedTime,AirTime,Distance,Year,IsWeekend,Season,CRSArr_TimeOfDay,CRSDep_TimeOfDay,dest_temperature_2m_mean,dest_wind_speed_10m_max,dest_wind_gusts_10m_max,dest_precipitation_sum,dest_rain_sum,dest_snowfall_sum,dest_precipitation_hours,dest_weather_code,dest_temperature_2m_range,origin_temperature_2m_mean,origin_wind_speed_10m_max,origin_wind_gusts_10m_max,origin_precipitation_sum,origin_rain_sum,origin_snowfall_sum,origin_precipitation_hours,origin_weather_code,origin_temperature_2m_range,airline_name,SinMonth,CosMonth,SinDay,CosDay
BNA,117.0,91.0,675.0,2024,0,Winter,Afternoon,Afternoon,-13.3,10.0,47.9,0.0,0.0,0.0,0.0,3,14.2,11.1,23.1,46.4,0.0,0.0,0.0,0.0,3,8.4,PSA Airlines Inc.,0.8660254037844386,0.5000000000000001,0.5712682150947923,0.8207634412072763
FLL,168.0,135.0,992.0,2024,0,Spring,Afternoon,Morning,-6.3,13.8,65.5,0.7,0.0,0.49,2.0,73,9.3,23.9,14.0,30.2,7.9,7.9,0.0,10.0,63,6.199999999999999,American Airlines Inc.,0.49999999999999994,-0.8660254037844387,0.39435585511331855,0.9189578116202306
ATL,125.0,90.0,666.0,2022,0,Summer,Morning,Morning,5.7,6.3,36.7,3.5,3.1,0.28,7.0,73,8.899999999999999,24.7,13.4,34.2,9.4,9.4,0.0,10.0,63,6.600000000000001,Southwest Airlines Co.,-0.4999999999999998,-0.8660254037844388,0.39435585511331855,0.9189578116202306
PHX,264.0,247.0,2075.0,2020,1,Winter,Evening,Morning,-18.2,9.3,30.2,0.0,0.0,0.0,0.0,3,16.2,13.5,10.8,19.1,0.0,0.0,0.0,0.0,3,14.8,American Airlines Inc.,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203
FLL,168.0,127.0,992.0,2023,0,Fall,Night,Night,-0.8,10.8,37.4,4.7,0.4,3.01,15.0,73,5.5,26.0,15.1,25.6,14.6,14.6,0.0,10.0,65,6.900000000000002,Spirit Air Lines,-1.0,-1.8369701987210297e-16,0.5712682150947923,0.8207634412072763
MSP,161.0,127.0,980.0,2021,0,Fall,Evening,Afternoon,-8.7,8.9,35.3,0.0,0.0,0.0,0.0,2,10.5,12.4,22.6,49.0,0.1,0.1,0.0,1.0,51,8.0,PSA Airlines Inc.,-0.8660254037844386,0.5000000000000001,0.5712682150947923,0.8207634412072763
CLT,107.0,101.0,449.0,2021,1,Summer,Afternoon,Morning,6.1,8.4,37.1,0.4,0.4,0.0,4.0,51,12.5,23.6,9.4,25.6,26.5,26.5,0.0,18.0,65,7.699999999999999,American Airlines Inc.,-0.8660254037844384,-0.5000000000000004,0.8486442574947509,0.5289640103269624
MYR,97.0,66.0,473.0,2021,0,Spring,Night,Night,-4.5,8.6,58.7,0.4,0.0,0.28,4.0,71,7.4,21.6,25.3,47.9,0.0,0.0,0.0,0.0,3,7.600000000000001,Frontier Airlines Inc.,1.0,6.123233995736766e-17,0.72479278722912,0.6889669190756866
LAS,286.0,247.0,2176.0,2022,0,Summer,Morning,Night,5.8,9.6,55.1,0.0,0.0,0.0,0.0,3,10.9,31.6,24.3,41.8,0.0,0.0,0.0,0.0,1,15.599999999999998,Frontier Airlines Inc.,1.2246467991473532e-16,-1.0,0.72479278722912,0.6889669190756866
RSW,153.0,137.0,993.0,2020,1,Summer,Afternoon,Morning,9.7,11.1,42.5,0.0,0.0,0.0,0.0,3,13.2,28.1,13.5,32.8,1.8,1.8,0.0,6.0,53,6.899999999999999,American Airlines Inc.,-0.8660254037844384,-0.5000000000000004,0.9377521321470804,0.3473052528448203
MDW,115.0,86.0,668.0,2022,0,Summer,Morning,Morning,5.4,9.2,54.4,0.0,0.0,0.0,0.0,3,8.9,30.5,34.4,60.5,0.0,0.0,0.0,0.0,3,9.100000000000001,Southwest Airlines Co.,1.2246467991473532e-16,-1.0,0.39435585511331855,0.9189578116202306
FLL,164.0,138.0,992.0,2022,1,Spring,Night,Evening,-1.3,8.5,42.5,0.0,0.0,0.0,0.0,3,10.399999999999999,24.2,29.2,53.6,1.4,1.4,0.0,7.0,53,4.5,Spirit Air Lines,0.8660254037844387,-0.49999999999999983,0.8486442574947509,0.5289640103269624
